MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Bojanovice,Praha-západ,Bojanovicích,"49.85451589,14.35209647"
Výkleky,Přerov,Výklekách; Výklecích,"49.55490473,17.47565274"
Pelhřimov,Pelhřimov,Pelhřimově,"49.43139676,15.22338936"
Bratřice,Pelhřimov,Bratřicích,"49.51651522,15.00126113"
Oskava,Šumperk,Oskavě,"49.89524417,17.13219613"
Plazy,Mladá Boleslav,Plazech,"50.41409710,14.97511546"
Podhradí,Zlín,Podhradí,"49.13994830,17.77396811"
Chlumín,Mělník,Chlumíně,"50.28918941,14.44935837"
Velenka,Nymburk,Velence,"50.13978717,14.89567883"
Dubicko,Šumperk,Dubicku,"49.82807817,16.96271301"
Kostelec nad Labem,Mělník,Kostelci nad Labem,"50.22660363,14.58559877"
Lhota,Praha-východ,Lhotě,"50.24327722,14.65649161"
Nebužely,Mělník,Nebuželech,"50.39037513,14.59087991"
Královice,Kladno,Královicích,"50.26310805,14.05587937"
Dražíč,České Budějovice,Dražíči,"49.30594824,14.38384705"
Troubky-Zdislavice,Kroměříž,Troubkách-Zdislavicích,"49.23001199,17.26888806"
Skaštice,Kroměříž,Skašticích,"49.33232023,17.41740733"
Slavkov pod Hostýnem,Kroměříž,Slavkově pod Hostýnem,"49.37714758,17.67035024"
Střížovice,Kroměříž,Střížovicích,"49.25709162,17.44960961"
Uhřice,Kroměříž,Uhřicích,"49.28174857,17.20144676"
Zborovice,Kroměříž,Zborovicích,"49.24890113,17.28465909"
Žeranovice,Kroměříž,Žeranovicích,"49.29147805,17.60443626"
Biskupice,Prostějov,Biskupicích,"49.45968613,17.23661950"
Bohuslavice,Prostějov,Bohuslavicích,"49.62087110,16.95758595"
Budětsko,Prostějov,Budětsku,"49.58704871,16.92691033"
Buková,Prostějov,Bukové,"49.50975992,16.82915918"
Čechy pod Kosířem,Prostějov,Čechách pod Kosířem,"49.55097786,17.03770240"
Čelechovice na Hané,Prostějov,Čelechovicích na Hané,"49.51627967,17.09382667"
Panenská Rozsíčka,Jihlava,Panenské Rozsíčce,"49.25261243,15.51492026"
Dolní Lažany,Třebíč,Dolních Lažanech,"49.09997880,15.82272545"
Valdíkov,Třebíč,Valdíkově,"49.24704988,15.98525342"
Tři Studně,Žďár nad Sázavou,Třech Studních,"49.61288087,16.03653417"
Rybné,Jihlava,Rybném,"49.42289621,15.73632453"
Křídla,Žďár nad Sázavou,Křídlech,"49.52726732,16.12238182"
Lomnice,Bruntál,Lomnici,"49.87100780,17.41511880"
Razová,Bruntál,Razové,"49.93130659,17.53204959"
Rusín,Bruntál,Rusíně,"50.20978501,17.73428668"
Slezské Rudoltice,Bruntál,Slezských Rudolticích,"50.20690536,17.68109297"
Svobodné Heřmanice,Bruntál,Svobodných Heřmanicích,"49.94604928,17.67431284"
Petrovice,Třebíč,Petrovicích,"49.24122868,15.78760746"
Tučín,Přerov,Tučíně,"49.45399574,17.51504640"
Veselíčko,Přerov,Veselíčku,"49.53209927,17.50916485"
Všechovice,Přerov,Všechovicích,"49.46276179,17.75816427"
Želatovice,Přerov,Želatovicích,"49.44404914,17.50623081"
Bludov,Šumperk,Bludově,"49.94082186,16.92854427"
Podveky,Kutná Hora,Podvekách,"49.82510765,14.99405245"
Jilem,Havlíčkův Brod,Jilmu,"49.71342407,15.58341297"
Sedletín,Havlíčkův Brod,Sedletíně,"49.70850090,15.56457297"
Bezděkov,Havlíčkův Brod,Bezděkově,"49.73287731,15.73044449"
Sloupno,Havlíčkův Brod,Sloupně,"49.73703559,15.74983795"
Kunemil,Havlíčkův Brod,Kunemili,"49.70751295,15.43155857"
Hřibiny-Ledská,Rychnov nad Kněžnou,Hřibinách-Ledské,"50.14808099,16.17396922"
Hrejkovice,Písek,Hrejkovicích,"49.47444910,14.29084427"
Pohořelice,Zlín,Pohořelicích,"49.17657088,17.53785692"
Poteč,Zlín,Poteči,"49.15437596,18.03543768"
Kučeř,Písek,Kučeři,"49.43431844,14.24565424"
Myslín,Písek,Myslíně,"49.53217036,14.02737459"
Tečovice,Zlín,Tečovicích,"49.22107177,17.58734787"
Hrabyně,Opava,Hrabyni,"49.88247623,18.05487647"
Chuchelná,Opava,Chuchelné,"49.98662730,18.11661503"
Janovice,Frýdek-Místek,Janovicích,"49.62139019,18.40604908"
Košařiska,Frýdek-Místek,Košařiskách,"49.59006275,18.69467354"
Kobeřice,Opava,Kobeřicích,"49.98547389,18.05217588"
Ratiboř,Jindřichův Hradec,Ratiboři,"49.14358327,14.91503873"
Markvartovice,Opava,Markvartovicích,"49.90593781,18.23607231"
Melč,Opava,Melči,"49.84992461,17.75784729"
Drahany,Prostějov,Drahanech,"49.43327975,16.89740902"
Dzbel,Prostějov,Dzbelu,"49.61291424,16.85091662"
Hradčany-Kobeřice,Prostějov,Hradčanech-Kobeřicích,"49.36408941,17.12915078"
Hrdibořice,Prostějov,Hrdibořicích,"49.47848761,17.22044308"
Hrubčice,Prostějov,Hrubčicích,"49.45002824,17.19311729"
Kladky,Prostějov,Kladkách,"49.65010408,16.84129212"
Klopotovice,Prostějov,Klopotovicích,"49.44612974,17.25079121"
Krumsín,Prostějov,Krumsíně,"49.44593672,17.00148008"
Lešany,Prostějov,Lešanech,"49.49969677,17.02409567"
Vysoká Pec,Karlovy Vary,Vysoké Peci,"50.34671496,12.69917469"
Chotovice,Svitavy,Chotovicích,"49.85108825,16.17130245"
Stará Ves nad Ondřejnicí,Ostrava-město,Staré Vsi nad Ondřejnicí,"49.72774128,18.18853685"
Zašovice,Třebíč,Zašovicích,"49.25828383,15.72569882"
Zvěrkovice,Třebíč,Zvěrkovicích,"49.02557455,15.86317453"
Babice,Uherské Hradiště,Babicích,"49.12167778,17.48075434"
Bílovice,Uherské Hradiště,Bílovicích,"49.09965528,17.54961421"
Borovník,Brno-venkov,Borovníku,"49.35559124,16.22937657"
Březejc,Žďár nad Sázavou,Březejci,"49.34633729,16.09148285"
Bystřice nad Pernštejnem,Žďár nad Sázavou,Bystřici nad Pernštejnem,"49.52298059,16.26150121"
Černvír,Brno-venkov,Černvíru,"49.44534536,16.34621103"
Dobrá Voda,Žďár nad Sázavou,Dobré Vodě,"49.39393580,16.06506800"
Dolní Libochová,Žďár nad Sázavou,Dolní Libochové,"49.40832314,16.18462998"
Dolní Rožínka,Žďár nad Sázavou,Dolní Rožínce,"49.47704552,16.21049371"
Rohenice,Rychnov nad Kněžnou,Rohenicích,"50.30931349,16.03221843"
Dobříč,Praha-západ,Dobříči,"50.01999684,14.25897703"
Dolany nad Vltavou,Mělník,Dolanech nad Vltavou,"50.22211422,14.34959899"
Holubice,Praha-západ,Holubicích,"50.20316372,14.29291877"
Hradištko,Praha-západ,Hradištku,"49.86835584,14.40940427"
Choteč,Praha-západ,Chotči,"49.98663273,14.28298020"
Jesenice,Praha-západ,Jesenici,"49.96821663,14.51355986"
Vlkovice,Cheb,Vlkovicích,"49.94893199,12.73907347"
Kněževes,Praha-západ,Kněževsi,"50.12026330,14.26041986"
Velká Chmelištná,Rakovník,Velké Chmelištné,"50.06372724,13.55161827"
Hvězdonice,Benešov,Hvězdonicích,"49.87288642,14.77733125"
Lužnice,Jindřichův Hradec,Lužnici,"49.06305048,14.75619607"
Plavsko,Jindřichův Hradec,Plavsku,"49.08465983,14.90403674"
Bořetín,Pelhřimov,Bořetíně,"49.31019734,14.94764563"
Předotice,Písek,Předoticích,"49.36501911,14.05345227"
Raduň,Opava,Raduni,"49.89286647,17.94329256"
Slavkov,Opava,Slavkově,"49.92179829,17.83646456"
Služovice,Opava,Služovicích,"49.98850014,17.99492321"
Štěpánkovice,Opava,Štěpánkovicích,"49.95737368,18.03746507"
Láz,Třebíč,Lázu,"49.01233800,15.78507128"
Sedlec,Třebíč,Sedlci,"49.16761175,16.13468454"
Oslavička,Žďár nad Sázavou,Oslavičce,"49.31544860,15.96686815"
Křeč,Pelhřimov,Křeči,"49.38931909,14.91702805"
Borovany,Písek,Borovanech,"49.34307318,14.39249283"
Šenov,Ostrava-město,Šenově,"49.79313426,18.37610807"
Vlksice,Písek,Vlksicích,"49.48098512,14.44122382"
Bezdědovice,Strakonice,Bezdědovicích,"49.44427790,13.87999890"
Dolní Lutyně,Karviná,Dolní Lutyni,"49.89874015,18.42820272"
Orlová,Karviná,Orlové,"49.84524799,18.43015545"
Petřvald,Karviná,Petřvaldě; Petřvaldu,"49.83098142,18.38944934"
Rychvald,Karviná,Rychvaldu; Rychvaldě,"49.86623590,18.37630743"
Sedlečko u Soběslavě,Tábor,Sedlečku u Soběslavě,"49.28275084,14.74288159"
Rudná,Svitavy,Rudné,"49.65914929,16.57331020"
Sedliště,Svitavy,Sedlišti; Sedlištích,"49.89391128,16.27486865"
Staré Město,Svitavy,Starém Městě; Starém Městu,"49.79401655,16.67497688"
Lísek,Žďár nad Sázavou,Lísku,"49.58687234,16.20117738"
Martinice,Žďár nad Sázavou,Martinicích,"49.37172538,16.03823169"
Matějov,Žďár nad Sázavou,Matějově,"49.52864066,15.86303987"
Katov,Brno-venkov,Katově,"49.33272750,16.27878069"
Vítězná,Trutnov,Vítězné,"50.48759202,15.79990683"
Vlčkovice v Podkrkonoší,Trutnov,Vlčkovicích v Podkrkonoší,"50.41275714,15.91126150"
Bystřec,Ústí nad Orlicí,Bystrci,"50.01170819,16.61906167"
Červená Voda,Ústí nad Orlicí,Červené Vodě,"50.04031281,16.74274459"
České Heřmanice,Ústí nad Orlicí,Českých Heřmanicích,"49.93146393,16.25315602"
České Petrovice,Ústí nad Orlicí,Českých Petrovicích,"50.11930060,16.60543665"
Dolní Čermná,Ústí nad Orlicí,Dolní Čermné,"49.97956240,16.56481183"
Libchavy,Ústí nad Orlicí,Libchavách,"50.00321411,16.38976283"
Chotýšany,Benešov,Chotýšanech,"49.74416788,14.81462850"
Hředle,Beroun,Hředlích,"49.90388186,13.92066175"
Hýskov,Beroun,Hýskově,"49.99080944,14.05061182"
Chaloupky,Beroun,Chaloupkách,"49.79135959,13.87180338"
Kublov,Beroun,Kublově,"49.94378611,13.87673467"
Horka I,Kutná Hora,Horce I,"49.98274667,15.43999760"
Měňany,Beroun,Měňanech,"49.91008247,14.11774518"
Honezovice,Plzeň-jih,Honezovicích,"49.63831728,13.06260151"
Postřelmov,Šumperk,Postřelmově,"49.90758140,16.91231683"
Mokrovraty,Příbram,Mokrovratech,"49.79731464,14.25550670"
Častohostice,Třebíč,Častohosticích,"49.01442786,15.81920815"
Návsí,Frýdek-Místek,Návsí,"49.58717597,18.75909985"
Olbramice,Ostrava-město,Olbramicích,"49.78954285,18.08899145"
Jakubčovice nad Odrou,Nový Jičín,Jakubčovicích nad Odrou,"49.69503785,17.78771261"
Šenov u Nového Jičína,Nový Jičín,Šenově u Nového Jičína,"49.60454171,18.00331182"
Staňkov,Domažlice,Staňkově,"49.55358828,13.06980083"
Stráž,Domažlice,Stráži,"49.41485625,12.91295478"
Hazlov,Cheb,Hazlově,"50.15646781,12.27245584"
Křižovatka,Cheb,Křižovatce,"50.19427912,12.39313362"
Milhostov,Cheb,Milhostově,"50.15616455,12.45326841"
Boreč,Mladá Boleslav,Borči,"50.40741846,14.73247881"
Štichovice,Plzeň-sever,Štichovicích,"49.97790545,13.30288870"
Stašov,Svitavy,Stašově,"49.67491163,16.36896075"
Telecí,Svitavy,Telecí; Telecím,"49.69493912,16.18113420"
Trpín,Svitavy,Trpíně,"49.59524928,16.40165207"
Vendolí,Svitavy,Vendolí,"49.73985690,16.41331224"
Vítějeves,Svitavy,Vítějevsi,"49.61575449,16.46540272"
Vranová Lhota,Svitavy,Vranové Lhotě,"49.71066462,16.82530061"
Bernartice,Trutnov,Bernarticích,"50.64472211,15.96591923"
Bílé Poličany,Trutnov,Bílých Poličanech,"50.39083968,15.73196445"
Dolní Kalná,Trutnov,Dolní Kalné,"50.53891963,15.63928770"
Štáblovice,Opava,Štáblovicích,"49.88003005,17.81858238"
Uhlířov,Opava,Uhlířově,"49.89705244,17.84134579"
Slatina,Nový Jičín,Slatině,"49.79070145,17.97991480"
Zbyslavice,Ostrava-město,Zbyslavicích,"49.80533369,18.07551252"
Borek,Havlíčkův Brod,Borku,"49.79186377,15.59003025"
Hostašovice,Nový Jičín,Hostašovicích,"49.53425784,17.99732819"
Kunín,Nový Jičín,Kuníně,"49.63376445,17.98968222"
Heřmanice u Oder,Nový Jičín,Heřmanicích u Oder,"49.71367415,17.80537525"
Dolní Město,Havlíčkův Brod,Dolním Městě; Dolním Městu,"49.62775925,15.38233966"
Druhanov,Havlíčkův Brod,Druhanově,"49.69883246,15.41026561"
Skotnice,Nový Jičín,Skotnici,"49.65755520,18.13397787"
Chotěboř,Havlíčkův Brod,Chotěboři,"49.72076568,15.67022906"
Pustějov,Nový Jičín,Pustějově,"49.70050024,18.00393727"
Chlum,Rokycany,Chlumu,"49.93577626,13.65974410"
Nedrahovice,Příbram,Nedrahovicích,"49.60904094,14.45577574"
Rapotín,Šumperk,Rapotíně,"50.00076362,17.01901318"
Rovensko,Šumperk,Rovensku,"49.90770596,16.87629659"
Ruda nad Moravou,Šumperk,Rudě nad Moravou,"49.98101546,16.87787805"
Nová Ves,České Budějovice,Nové Vsi,"48.92068222,14.52864706"
Vidov,České Budějovice,Vidově,"48.92682245,14.49465585"
Hůry,České Budějovice,Hůrách,"49.00656408,14.54109361"
Horní Bukovina,Mladá Boleslav,Horní Bukovině,"50.54321845,14.92621877"
Hrdlořezy,Mladá Boleslav,Hrdlořezech; Hrdlořezích,"50.45145726,14.87548824"
Vyšní Lhoty,Frýdek-Místek,Vyšních Lhotách,"49.63579064,18.45694620"
Mladá Vožice,Tábor,Mladé Vožici,"49.53319578,14.80860419"
Věžky,Přerov,Věžkách,"49.40502775,17.42319671"
Čechy,Přerov,Čechách,"49.42906022,17.53435145"
Opařany,Tábor,Opařanech,"49.39685630,14.48140556"
Turovice,Přerov,Turovicích,"49.42372208,17.58080336"
Stříbrnice,Přerov,Stříbrnici; Stříbrnicích,"49.32846577,17.24608334"
Pičín,Příbram,Pičíně,"49.74552582,14.05785479"
Sudkov,Šumperk,Sudkově,"49.91904198,16.94521795"
Supíkovice,Jeseník,Supíkovicích,"50.29769682,17.25522381"
Uhelná,Jeseník,Uhelné,"50.36495514,17.02737427"
Vápenná,Jeseník,Vápenné,"50.28338857,17.09769239"
Horní Kozolupy,Tachov,Horních Kozolupech,"49.83762305,12.94169763"
Libeř,Praha-západ,Libeři,"49.92422873,14.48067892"
Ovesné Kladruby,Cheb,Ovesných Kladrubech,"49.95311538,12.77915763"
Měchenice,Praha-západ,Měchenicích,"49.90824702,14.38932957"
Petrov,Praha-západ,Petrově,"49.88647079,14.43379205"
Roztoky,Praha-západ,Roztokách,"50.15848931,14.39767931"
Budkov,Třebíč,Budkově,"49.05453946,15.65893824"
Čechtín,Třebíč,Čechtíně,"49.29309373,15.81989430"
Červená Lhota,Třebíč,Červené Lhotě,"49.28450834,15.80612764"
Čikov,Třebíč,Čikově,"49.26954249,16.14092837"
Dolní Vilémovice,Třebíč,Dolních Vilémovicích,"49.15360313,15.97720330"
Domamil,Třebíč,Domamili,"49.08328390,15.69558518"
Fulnek,Nový Jičín,Fulneku,"49.71237124,17.90323287"
Příluka,Svitavy,Příluce,"49.86490823,16.15658890"
Dražeň,Plzeň-sever,Dražni,"49.92694797,13.28793061"
Pražmo,Frýdek-Místek,Pražmě,"49.60874555,18.48620187"
Řepiště,Frýdek-Místek,Řepišti,"49.73336017,18.31710941"
Kožlí,Havlíčkův Brod,Kožlí,"49.67037008,15.25325426"
Krásná Hora,Havlíčkův Brod,Krásné Hoře,"49.60273883,15.47037806"
Radětice,Tábor,Raděticích,"49.31943284,14.44128831"
Radimovice u Želče,Tábor,Radimovicích u Želče,"49.37733949,14.64758171"
Rataje,Tábor,Ratajích,"49.35022187,14.44576607"
Stratov,Nymburk,Stratově,"50.19301271,14.90987893"
Abertamy,Karlovy Vary,Abertamech,"50.36885727,12.81834996"
Bečov nad Teplou,Karlovy Vary,Bečově nad Teplou,"50.08356335,12.83838744"
Božičany,Karlovy Vary,Božičanech,"50.25805903,12.76899031"
Těchlovice,Děčín,Těchlovicích,"50.69640294,14.20503060"
Suchohrdly,Znojmo,Suchohrdlech,"48.86615906,16.08901854"
Chotěbuz,Karviná,Chotěbuzi,"49.76847232,18.56916308"
Statenice,Praha-západ,Statenicích,"50.14265163,14.31860836"
Únětice,Praha-západ,Úněticích,"50.15018829,14.35417398"
Horní Lukavice,Plzeň-jih,Horní Lukavici,"49.61242123,13.32701754"
Vonoklasy,Praha-západ,Vonoklasech; Vonoklasích,"49.95019499,14.27675778"
Dolce,Plzeň-jih,Dolcích,"49.55296032,13.39344732"
Dolní Lánov,Trutnov,Dolním Lánově,"50.58704143,15.66441650"
Trokavec,Rokycany,Trokavci,"49.64701533,13.70229147"
Horní Maršov,Trutnov,Horním Maršově,"50.65860134,15.81985338"
Chotěvice,Trutnov,Chotěvicích,"50.52144185,15.76678619"
Chvaleč,Trutnov,Chvalči,"50.59593715,16.03940065"
Liboš,Olomouc,Liboši,"49.69159515,17.22507097"
Třemešné,Tachov,Třemešném,"49.62537883,12.69570338"
Doksy,Česká Lípa,Doksech; Doksích,"50.56478169,14.65562316"
Dubnice,Česká Lípa,Dubnici,"50.72603633,14.80882009"
Holany,Česká Lípa,Holanech,"50.61806875,14.49306449"
Srbsko,Beroun,Srbsku,"49.93724903,14.13598085"
Kadlín,Mělník,Kadlíně,"50.39953403,14.69982545"
Svatý Jan pod Skalou,Beroun,Svatém Janu pod Skalou,"49.96898985,14.13322902"
Tlustice,Beroun,Tlustici,"49.85011677,13.88566998"
Tmaň,Beroun,Tmani,"49.90715406,14.03388610"
Kujavy,Nový Jičín,Kujavách,"49.70330681,17.97256754"
Potůčky,Karlovy Vary,Potůčkách,"50.42827628,12.73657259"
Pšov,Karlovy Vary,Pšově,"50.05165919,13.17074144"
Toužim,Karlovy Vary,Toužimi,"50.06060389,12.98512923"
Vojkovice,Karlovy Vary,Vojkovicích,"50.30342219,13.01627757"
Suchovršice,Trutnov,Suchovršicích,"50.52344167,15.99829689"
Suchov,Hodonín,Suchově,"48.90742858,17.56344904"
Syrovín,Hodonín,Syrovíně,"49.02583558,17.26393509"
Tasov,Hodonín,Tasově,"48.90687433,17.42965586"
Terezín,Hodonín,Terezíně,"48.95555662,16.94255454"
Vacenovice,Hodonín,Vacenovicích,"48.94511918,17.17403871"
Těšovice,Sokolov,Těšovicích,"50.18231202,12.67696115"
Myslejovice,Prostějov,Myslejovicích,"49.40646459,17.02757785"
Niva,Prostějov,Nivě,"49.44523605,16.85183374"
Obědkovice,Prostějov,Obědkovicích,"49.39426058,17.22551161"
Olšany u Prostějova,Prostějov,Olšanech u Prostějova,"49.53646430,17.16459619"
Polště,Jindřichův Hradec,Polšti,"49.10645025,14.92786765"
Horní Podluží,Děčín,Horním Podluží,"50.88145146,14.54573487"
Hřensko,Děčín,Hřensku,"50.87448247,14.24262058"
Kytlice,Děčín,Kytlici; Kytlicích,"50.81271325,14.53547065"
Klec,Jindřichův Hradec,Kleci,"49.09961364,14.74805836"
Všeradice,Beroun,Všeradicích,"49.87373532,14.10482002"
Vysoký Újezd,Beroun,Vysokém Újezdě; Vysokém Újezdu,"49.99221072,14.20626126"
Drahňovice,Benešov,Drahňovicích,"49.82253801,14.90169979"
Lštění,Benešov,Lštění,"49.86435187,14.71432249"
Červený Újezd,Praha-západ,Červeném Újezdě; Červeném Újezdu,"50.06978657,14.16597902"
Lhenice,Prachatice,Lhenicích,"48.99487744,14.14981350"
Mičovice,Prachatice,Mičovicích,"48.98362167,14.12507511"
Vincencov,Prostějov,Vincencově,"49.40572053,17.06249026"
Lišov,České Budějovice,Lišově,"49.01604452,14.60838977"
Ratiboř,Vsetín,Ratiboři,"49.36768939,17.91500718"
Rožnov pod Radhoštěm,Vsetín,Rožnově pod Radhoštěm,"49.45851736,18.14304532"
Věteřov,Hodonín,Věteřově,"49.02854254,17.05614595"
Vlkoš,Hodonín,Vlkoši,"48.98961657,17.16356141"
Vřesovice,Hodonín,Vřesovicích,"49.05909633,17.21501265"
Ždánice,Hodonín,Ždánicích,"49.06730549,17.02751933"
Žeravice,Hodonín,Žeravicích,"49.02289763,17.23726679"
Jabkenice,Mladá Boleslav,Jabkenicích,"50.32412822,15.01485679"
Kamenná,České Budějovice,Kamenné,"48.77985392,14.67108253"
Zahájí,České Budějovice,Zahájí,"49.08966261,14.37081933"
Kochánky,Mladá Boleslav,Kochánkách,"50.27709644,14.78031242"
Hartmanice,České Budějovice,Hartmanicích,"49.20801969,14.56513499"
Kostelní Hlavno,Praha-východ,Kostelním Hlavně,"50.25749553,14.69905847"
Mikulášovice,Děčín,Mikulášovicích,"50.96514758,14.36380183"
Staré Křečany,Děčín,Starých Křečanech,"50.95051287,14.49629079"
Veselé,Děčín,Veselém,"50.78475466,14.37383961"
Boleboř,Chomutov,Boleboři,"50.54026109,13.41343076"
Knínice,Blansko,Knínicích,"49.53961341,16.69505846"
Krasová,Blansko,Krasové,"49.36139924,16.76795308"
Loučany,Olomouc,Loučanech,"49.60191187,17.08269549"
Dymokury,Nymburk,Dymokurech,"50.24573277,15.20262390"
Chotěšice,Nymburk,Chotěšicích,"50.27861804,15.27313763"
Kamenné Zboží,Nymburk,Kamenném Zboží,"50.19297607,14.99949895"
Kounice,Nymburk,Kounicích,"50.10773380,14.85599345"
Seninka,Vsetín,Senince,"49.27320624,17.96506490"
Střítež nad Bečvou,Vsetín,Stříteži nad Bečvou,"49.45855608,18.05689275"
Římov,České Budějovice,Římově,"48.85569363,14.48684377"
Sedlec,České Budějovice,Sedlci,"49.07290797,14.28651922"
Svatý Jan nad Malší,České Budějovice,Svatém Janu nad Malší,"48.82411350,14.50852390"
Ševětín,České Budějovice,Ševětíně,"49.10012941,14.57221196"
Stranný,Benešov,Stranném,"49.75382527,14.49402849"
Hodslavice,Nový Jičín,Hodslavicích,"49.53855447,18.02370358"
Svárov,Kladno,Svárově,"50.06200593,14.15060206"
Jistebník,Nový Jičín,Jistebníku,"49.75398530,18.13067172"
Horní Slivno,Mladá Boleslav,Horním Slivnu; Horním Slivně,"50.30409840,14.70495911"
Luboměř,Nový Jičín,Luboměři,"49.68865599,17.70651532"
Kropáčova Vrutice,Mladá Boleslav,Kropáčově Vrutici,"50.33060154,14.71746176"
Horní Moštěnice,Přerov,Horní Moštěnici,"49.41213274,17.45881697"
Lešetice,Příbram,Lešeticích,"49.64728200,14.02113029"
Příčovy,Příbram,Příčovech,"49.67284804,14.38962507"
Horní Smržov,Blansko,Horním Smržově,"49.61828534,16.57701851"
Mírová,Karlovy Vary,Mírové,"50.23729160,12.77007524"
Vestec,Nymburk,Vestci,"50.23978261,15.14618728"
Vrbová Lhota,Nymburk,Vrbové Lhotě,"50.11201320,15.06271872"
Smolné Pece,Karlovy Vary,Smolných Pecích,"50.29158210,12.76541041"
Babice,Praha-východ,Babicích,"50.00805547,14.71586624"
Brázdim,Praha-východ,Brázdimě; Brázdimu,"50.18306066,14.58734387"
Točník,Beroun,Točníku,"49.88548350,13.88283010"
Křečkov,Nymburk,Křečkově,"50.18002013,15.11434585"
Milčice,Nymburk,Milčicích,"50.10543146,14.99176780"
Buk,Prachatice,Buku,"49.03799769,13.84515911"
Oskořínek,Nymburk,Oskořínku,"50.24011657,15.08407616"
Pátek,Nymburk,Pátku,"50.16557491,15.15853012"
Ratenice,Kolín,Ratenicích,"50.09167031,15.05932519"
Březnice,Příbram,Březnici,"49.55772127,13.95067050"
Buš,Praha-západ,Buši,"49.80324355,14.38369959"
Čím,Příbram,Čími,"49.77859427,14.37785419"
Nezdřev,Plzeň-jih,Nezdřevě,"49.42666437,13.72809279"
Nový Dvůr,Nymburk,Novém Dvoře; Novém Dvoru,"50.23220395,15.11094292"
Oseček,Nymburk,Osečku,"50.10160842,15.14865559"
Tehovec,Praha-východ,Tehovci,"49.98156318,14.73035698"
Sedlnice,Nový Jičín,Sedlnici; Sedlnicích,"49.65769157,18.08693756"
Suchdol nad Odrou,Nový Jičín,Suchdole nad Odrou; Suchdolu nad Odrou,"49.65571670,17.92819163"
Tichá,Nový Jičín,Tiché,"49.56997526,18.22150969"
Blažejov,Jindřichův Hradec,Blažejově,"49.14225545,15.09646812"
Kravaře,Česká Lípa,Kravařích,"50.63247424,14.39251302"
Chrbonín,Tábor,Chrboníně,"49.35873051,14.86432645"
Libědice,Chomutov,Libědicích,"50.31598798,13.38565052"
Perštejn,Chomutov,Perštejně,"50.38176606,13.11028987"
Opolany,Nymburk,Opolanech,"50.13077022,15.21706842"
Poděbrady,Nymburk,Poděbradech,"50.14247781,15.11888478"
Sány,Nymburk,Sánech,"50.12470833,15.24771132"
Vrbice,Rychnov nad Kněžnou,Vrbici,"50.08916440,16.25174615"
Řečice,Pelhřimov,Řečici,"49.60293620,15.37166249"
Těmice,Pelhřimov,Těmicích,"49.35185683,15.06047370"
Věžná,Pelhřimov,Věžné,"49.41424600,14.98875112"
Jeřišno,Havlíčkův Brod,Jeřišně,"49.79240197,15.64171072"
Ledeč nad Sázavou,Havlíčkův Brod,Ledči nad Sázavou,"49.69522425,15.27776950"
Jankov,Benešov,Jankově,"49.65300576,14.73078776"
Hrdlív,Kladno,Hrdlívě; Hrdlívu,"50.19933520,14.07256052"
Přílepy,Kroměříž,Přílepech,"49.31998299,17.61593065"
Říčky,Brno-venkov,Říčkách,"49.23295746,16.35585922"
Milasín,Žďár nad Sázavou,Milasíně,"49.46627313,16.22883599"
Sepekov,Písek,Sepekově,"49.42872805,14.41818589"
Skryje,Brno-venkov,Skryjích,"49.39359659,16.31071201"
Ondratice,Prostějov,Ondraticích,"49.36296607,17.06370114"
Otinoves,Prostějov,Otinovsi,"49.42119582,16.87170426"
Plumlov,Prostějov,Plumlově,"49.46615320,17.01504504"
Prostějovičky,Prostějov,Prostějovičkách,"49.42948012,17.00275768"
Raková u Konice,Prostějov,Rakové u Konice,"49.60726646,16.95086196"
Skřípov,Prostějov,Skřípově,"49.58355314,16.82026013"
Kryštofovy Hamry,Chomutov,Kryštofových Hamrech,"50.49956671,13.13618793"
Bečice,Tábor,Bečicích,"49.38274345,14.55322409"
Vejprty,Chomutov,Vejprtech,"50.49242291,13.03221690"
Vysoká Pec,Chomutov,Vysoké Peci,"50.52037033,13.47034967"
Frýdštejn,Jablonec nad Nisou,Frýdštejně; Frýdštejnu,"50.65231305,15.15886062"
Veřovice,Nový Jičín,Veřovicích,"49.53915562,18.11428154"
Mladějovice,Olomouc,Mladějovicích,"49.75238769,17.23147800"
Ústín,Olomouc,Ústíně,"49.58704921,17.15761380"
Nová Hradečná,Olomouc,Nové Hradečné,"49.83439387,17.07740487"
Želechovice,Olomouc,Želechovicích,"49.75411083,17.14398575"
Přáslavice,Olomouc,Přáslavicích,"49.58737133,17.39047559"
Vinaře,Kutná Hora,Vinařích,"49.90914889,15.50134894"
Vrdy,Kutná Hora,Vrdech,"49.92158455,15.47248955"
Záboří nad Labem,Kutná Hora,Záboří nad Labem,"50.02526873,15.34993554"
Milínov,Plzeň-jih,Milínově,"49.64316082,13.56598713"
Pláně,Plzeň-sever,Pláních,"49.95028078,13.30831935"
Bezděkov,Klatovy,Bezděkově,"49.38089799,13.22749551"
Bolešiny,Klatovy,Bolešinách,"49.40999629,13.36164027"
Čachrov,Klatovy,Čachrově,"49.26553338,13.30260830"
Dlažov,Klatovy,Dlažově,"49.36585285,13.16637572"
Koleč,Kladno,Kolči,"50.19884864,14.22347939"
Libušín,Kladno,Libušíně,"50.16827285,14.05465738"
Slatinky,Prostějov,Slatinkách,"49.54870284,17.09401536"
Srbce,Prostějov,Srbcích,"49.30232335,17.22904440"
